小区,单价
绿川馨康苑,64549
大华锦绣华城(十八街区)(公寓),101111
紫竹轩,66804
连波路66弄,62620
芳华路580弄,64518
芳华小区,60413
芳丽苑,72671
新花苑,62175
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳华苑,62344
新陈路428弄,57642
金旋小区,59386
芳华路673弄,59379
芳草路253弄,79864
莲溪五村,56657
莲宏苑,74452
北中路280弄,58981
南新六村,48831
德铭苑,70664
大华锦绣华城(十一街区),103149
由由新佳苑,71456
龙博公寓,78060
由由新景苑,80449
大华锦绣华城(十九街区)(别墅),105613
芳华路411弄,65954
芳华路188弄,59705
芳华路268弄,61547
绿川馨康苑,64549
大华锦绣华城(十八街区)(公寓),101111
紫竹轩,66804
连波路66弄,62620
芳华路580弄,64518
芳华小区,60413
芳丽苑,72671
新花苑,62175
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳华苑,62344
新陈路428弄,57642
金旋小区,59386
芳华路673弄,59379
芳草路253弄,79864
莲溪五村,56657
莲宏苑,74452
北中路280弄,58981
南新六村,48831
德铭苑,70664
大华锦绣华城(十一街区),103149
由由新佳苑,71456
龙博公寓,78060
由由新景苑,80449
大华锦绣华城(十九街区)(别墅),105613
芳华路411弄,65954
芳华路188弄,59705
芳华路268弄,61547
绿川馨康苑,64549
大华锦绣华城(十八街区)(公寓),101111
紫竹轩,66804
连波路66弄,62620
芳华路580弄,64518
芳华小区,60413
芳丽苑,72671
新花苑,62175
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳华苑,62344
新陈路428弄,57642
金旋小区,59386
芳华路673弄,59379
芳草路253弄,79864
莲溪五村,56657
莲宏苑,74452
北中路280弄,58981
南新六村,48831
德铭苑,70664
大华锦绣华城(十一街区),103149
由由新佳苑,71456
龙博公寓,78060
由由新景苑,80449
大华锦绣华城(十九街区)(别墅),105613
芳华路411弄,65954
芳华路188弄,59705
芳华路268弄,61547
芳华小区,60413
新花苑,62175
龙沟新苑,68913
莲安东路79弄,59717
鹏丰苑,64561
莲琼苑,63203
紫翠高清苑,62289
金旋小区,59386
芳华路673弄,59379
南新六村,48831
新陈路428弄,57642
乾景雅园,127990
莲溪大楼,54431
紫叶花园东园,69763
莲安西路35弄,55067
莲溪五村,56657
艾东小区,57955
大华锦绣华城(十九街区)(公寓),89244
南新二村,49280
莲中路174弄,54575
虞泽苑,73170
高科西路2763弄,59708
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳草路253弄,79864
芳华路268弄,61547
紫竹轩,66804
芳华路229弄,60517
莲业新村,55447
绿川馨康苑,64549
大华锦绣华城(十八街区)(公寓),101111
紫竹轩,66804
连波路66弄,62620
芳华路580弄,64518
芳华小区,60413
芳丽苑,72671
新花苑,62175
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳华苑,62344
新陈路428弄,57642
金旋小区,59386
芳华路673弄,59379
芳草路253弄,79864
莲溪五村,56657
莲宏苑,74452
北中路280弄,58981
南新六村,48831
德铭苑,70664
大华锦绣华城(十一街区),103149
由由新佳苑,71456
龙博公寓,78060
由由新景苑,80449
大华锦绣华城(十九街区)(别墅),105613
芳华路411弄,65954
芳华路188弄,59705
芳华路268弄,61547
芳华小区,60413
新花苑,62175
龙沟新苑,68913
莲安东路79弄,59717
鹏丰苑,64561
莲琼苑,63203
紫翠高清苑,62289
金旋小区,59386
芳华路673弄,59379
南新六村,48831
新陈路428弄,57642
乾景雅园,127990
莲溪大楼,54431
紫叶花园东园,69763
莲安西路35弄,55067
莲溪五村,56657
艾东小区,57955
大华锦绣华城(十九街区)(公寓),89244
南新二村,49280
莲中路174弄,54575
虞泽苑,73170
高科西路2763弄,59708
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳草路253弄,79864
芳华路268弄,61547
紫竹轩,66804
芳华路229弄,60517
莲业新村,55447
鹏裕苑,73122
德圣苑,69052
大华伊斐墅,144969
紫叶花园东园,69763
莲安西路35弄,55067
大华锦绣华城(十八街区)(公寓),101111
虹南小区(浦东),50557
莲安东路80弄,53610
宝华海尚郡领(别墅),188348
莲园路488-518号,48415
欣顺小区,50500
芳华路188弄,59705
北中路278弄,60468
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
鹏宏苑,64468
博安苑,76096
由中苑,79650
莲泰苑,75831
虞泽苑,73170
鹏丰苑,64561
莲溪八村,56362
莲鼎苑,62359
大华锦绣华城(十街区),79331
北蔡大街小区,54123
大华锦绣华城(十九街区)(别墅),105613
华安公寓(浦东),54326
南新四村,51415
金恒小区,61983
南新二村,49280
鹏裕苑,73122
德圣苑,69052
大华伊斐墅,144969
紫叶花园东园,69763
莲安西路35弄,55067
大华锦绣华城(十八街区)(公寓),101111
虹南小区(浦东),50557
莲安东路80弄,53610
宝华海尚郡领(别墅),188348
莲园路488-518号,48415
欣顺小区,50500
芳华路188弄,59705
北中路278弄,60468
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
鹏宏苑,64468
博安苑,76096
由中苑,79650
莲泰苑,75831
虞泽苑,73170
鹏丰苑,64561
莲溪八村,56362
莲鼎苑,62359
大华锦绣华城(十街区),79331
北蔡大街小区,54123
大华锦绣华城(十九街区)(别墅),105613
华安公寓(浦东),54326
南新四村,51415
金恒小区,61983
南新二村,49280
芳华小区,60413
新花苑,62175
龙沟新苑,68913
莲安东路79弄,59717
鹏丰苑,64561
莲琼苑,63203
紫翠高清苑,62289
金旋小区,59386
芳华路673弄,59379
南新六村,48831
新陈路428弄,57642
乾景雅园,127990
莲溪大楼,54431
紫叶花园东园,69763
莲安西路35弄,55067
莲溪五村,56657
艾东小区,57955
大华锦绣华城(十九街区)(公寓),89244
南新二村,49280
莲中路174弄,54575
虞泽苑,73170
高科西路2763弄,59708
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳草路253弄,79864
芳华路268弄,61547
紫竹轩,66804
芳华路229弄,60517
莲业新村,55447
绿川馨康苑,64549
大华锦绣华城(十八街区)(公寓),101111
紫竹轩,66804
连波路66弄,62620
芳华路580弄,64518
芳华小区,60413
芳丽苑,72671
新花苑,62175
鹏健苑,72138
大华锦绣华城(十七街区)(公寓),121323
芳华路713弄,55974
莲中路250弄,55810
芳华苑,62344
新陈路428弄,57642
金旋小区,59386
芳华路673弄,59379
芳草路253弄,79864
莲溪五村,56657
莲宏苑,74452
北中路280弄,58981
南新六村,48831
德铭苑,70664
大华锦绣华城(十一街区),103149
由由新佳苑,71456
龙博公寓,78060
由由新景苑,80449
大华锦绣华城(十九街区)(别墅),105613
芳华路411弄,65954
芳华路188弄,59705
芳华路268弄,61547
